Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(5,7) to the modular symbol (1,8) - 1/2*(1,9) of weight 2 and level 11.  Data generated by the following Sage code:

ms11 = ModularSymbols(Gamma0(11), 2).minus_submodule().cuspidal_submodule().gen(0)
jj = compute_jacobi_fast(ms11, 5, 7, 2000)

Weight: 2
Index: 11

Coefficients:
====================================
  Delta      r     c(Delta,r)
    796      2             20
    796     20            -20
    797      7             15
    797     15            -15
    801      3              0
    801     19              0
    804     10            -15
    804     12             15
    808      4            -10
    808     18             10
    812      8             10
    812     14            -10
    817      5              0
    817     17              0
    825     11              0
    828      6              0
    828     16              0
    829      9             -5
    829     13              5
    836      0              0
    837      1             -5
    837     21              5
    840      2             10
    840     20            -10
    841      7             -1
    841     15              1
    845      3            N/A
    845     19            N/A
    848     10              0
    848     12              0
    852      4              5
    852     18             -5
    856      8            -10
    856     14             10
    861      5             10
    861     17            -10
    869     11              0
    872      6             20
    872     16            -20
    873      9            -10
    873     13             10
    880      0              0
    881      1             15
    881     21            -15
    884      2             10
    884     20            -10
    885      7            -15
    885     15             15
    889      3            -10
    889     19             10
    892     10             -5
    892     12              5
    896      4             20
    896     18            -20
    900      8              0
    900     14              0
    905      5              5
    905     17             -5
    913     11              0
    916      6              5
    916     16             -5
    917      9            -20
    917     13             20
    924      0              0
    925      1             10
    925     21            -10
    928      2              0
    928     20              0
    929      7            -10
    929     15             10
    933      3              0
    933     19              0
    936     10              0
    936     12              0
    940      4             20
    940     18            -20
    944      8             10
    944     14            -10
    949      5            -20
    949     17             20
    957     11              0
    960      6             10
    960     16            -10
    961      9              6
    961     13             -6
    968      0              0
    969      1             10
    969     21            -10
    972      2            -10
    972     20             10
    973      7             20
    973     15            -20
    977      3              5
    977     19             -5
    980     10            N/A
    980     12            N/A
    984      4             10
    984     18            -10
    988      8            -10
    988     14             10
    993      5             -5
    993     17              5
   1001     11              0
   1004      6            -25
   1004     16             25
   1005      9             -5
   1005     13              5
   1012      0              0
   1013      1             -5
   1013     21              5
   1016      2            -10
   1016     20             10
   1017      7              0
   1017     15              0
   1021      3             10
   1021     19            -10
   1024     10             12
   1024     12            -12
   1028      4             30
   1028     18            -30
   1032      8            -20
   1032     14             20
   1037      5             20
   1037     17            -20
   1045     11              0
   1048      6             10
   1048     16            -10
   1049      9             -5
   1049     13              5
   1056      0              0
   1057      1              0
   1057     21              0
   1060      2              0
   1060     20              0
   1061      7              5
   1061     15             -5
   1065      3             -5
   1065     19              5
   1068     10              5
   1068     12             -5
   1072      4            -10
   1072     18             10
   1076      8            -20
   1076     14             20
   1081      5              0
   1081     17              0
   1089     11              0
   1092      6              0
   1092     16              0
   1093      9            -25
   1093     13             25
   1100      0              0
   1101      1             25
   1101     21            -25
   1104      2              0
   1104     20              0
   1105      7             10
   1105     15            -10
   1109      3              0
   1109     19              0
   1112     10             10
   1112     12            -10
   1116      4             10
   1116     18            -10
   1120      8             20
   1120     14            -20
   1125      5            N/A
   1125     17            N/A
   1133     11              0
   1136      6            -30
   1136     16             30
   1137      9             -5
   1137     13              5
   1144      0              0
   1145      1            -15
   1145     21             15
   1148      2            -10
   1148     20             10
   1149      7             15
   1149     15            -15
   1153      3              5
   1153     19             -5
   1156     10             -9
   1156     12              9
   1160      4            -20
   1160     18             20
   1164      8             15
   1164     14            -15
   1169      5            -10
   1169     17             10
   1177     11              0
   1180      6            -15
   1180     16             15
   1181      9             30
   1181     13            -30
   1188      0              0
   1189      1             20
   1189     21            -20
   1192      2            -10
   1192     20             10
   1193      7             15
   1193     15            -15
   1197      3            -20
   1197     19             20
   1200     10             20
   1200     12            -20
   1204      4            -10
   1204     18             10
   1208      8              0
   1208     14              0
   1213      5              5
   1213     17             -5
   1221     11              0
   1224      6             20
   1224     16            -20
   1225      9              0
   1225     13              0
   1232      0              0
   1233      1              0
   1233     21              0
   1236      2             20
   1236     20            -20
   1237      7            -10
   1237     15             10
   1241      3             10
   1241     19            -10
   1244     10            -20
   1244     12             20
   1248      4            -20
   1248     18             20
   1252      8            -15
   1252     14             15
   1257      5              0
   1257     17              0
   1265     11              0
   1268      6              5
   1268     16             -5
   1269      9             10
   1269     13            -10
   1276      0              0
   1277      1            -25
   1277     21             25
   1280      2            N/A
   1280     20            N/A
   1281      7            -10
   1281     15             10
   1285      3            -20
   1285     19             20
   1288     10            -10
   1288     12             10
   1292      4             10
   1292     18            -10
   1296      8              4
   1296     14             -4
   1301      5            -35
   1301     17             35
   1309     11              0
   1312      6             20
   1312     16            -20
   1313      9              0
   1313     13              0
   1320      0              0
   1321      1             -5
   1321     21              5
   1324      2             15
   1324     20            -15
   1325      7            -20
   1325     15             20
   1329      3              5
   1329     19             -5
   1332     10             10
   1332     12            -10
   1336      4            -10
   1336     18             10
   1340      8             25
   1340     14            -25
   1345      5              0
   1345     17              0
   1353     11              0
   1356      6             -5
   1356     16              5
   1357      9             15
   1357     13            -15
   1364      0              0
   1365      1            -20
   1365     21             20
   1368      2              0
   1368     20              0
   1369      7             -2
   1369     15              2
   1373      3             -5
   1373     19              5
   1376     10              0
   1376     12              0
   1380      4            -15
   1380     18             15
   1384      8             20
   1384     14            -20
   1389      5              5
   1389     17             -5
   1397     11              0
   1400      6              0
   1400     16              0
   1401      9             15
   1401     13            -15
   1408      0              0
   1409      1             -5
   1409     21              5
   1412      2            -15
   1412     20             15
   1413      7            -30
   1413     15             30
   1417      3            -10
   1417     19             10
   1420     10            -15
   1420     12             15
   1424      4            -20
   1424     18             20
   1428      8            -20
   1428     14             20
   1433      5             10
   1433     17            -10
   1441     11              0
   1444      6             -3
   1444     16              3
   1445      9            N/A
   1445     13            N/A
   1452      0              0
   1453      1            -15
   1453     21             15
   1456      2              0
   1456     20              0
   1457      7              0
   1457     15              0
   1461      3            -25
   1461     19             25
   1464     10             20
   1464     12            -20
   1468      4              5
   1468     18             -5
   1472      8             10
   1472     14            -10
   1477      5             10
   1477     17            -10
   1485     11              0
   1488      6              0
   1488     16              0
   1489      9              5
   1489     13             -5
   1496      0              0
   1497      1            -10
   1497     21             10
   1500      2              5
   1500     20             -5
   1501      7            -10
   1501     15             10
   1505      3             10
   1505     19            -10
   1508     10            -30
   1508     12             30
   1512      4            -10
   1512     18             10
   1516      8             -5
   1516     14              5
   1521      5              6
   1521     17             -6
