Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,166) + 2/3*(1,234) + 2/3*(1,239) - 2/3*(1,240) + 1/3*(1,242) + 1/3*(1,243) + 2/3*(1,244) - 2/3*(1,245) - 1/3*(1,246) + 1/3*(1,247) - 2/3*(1,249) + 4/3*(1,250) - 2/3*(1,252) + 2/3*(1,258) - 2/3*(1,259) + 1/3*(1,260) + 1/3*(1,261) + 2/3*(1,267) - 2/3*(1,268) + 2/3*(1,269) - 2/3*(1,270) - (1,272) + 1/3*(1,274) + (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71          -28/3
   -499    483          -28/3
   -495    239           44/3
   -495    315           44/3
   -492    184           16/3
   -492    370           16/3
   -491    127            4/3
   -491    427            4/3
   -488    204           20/3
   -488    350           20/3
   -487    187            -16
   -487    367            -16
   -484    212          -16/3
   -484    342          -16/3
   -483     25             -4
   -483    529             -4
   -480    118          -28/3
   -480    436          -28/3
   -479    181           -4/3
   -479    373           -4/3
   -475    165             -8
   -475    389             -8
   -471    103              8
   -471    451              8
   -468    232              4
   -468    322              4
   -467    151              0
   -467    403              0
   -464    190           16/3
   -464    364           16/3
   -463     63           52/3
   -463    491           52/3
   -452     42              8
   -452    512              8
   -448    178            N/A
   -448    376            N/A
   -432     26           52/3
   -432    528           52/3
   -431    257            4/3
   -431    297            4/3
   -424    246           -8/3
   -424    308           -8/3
   -423    193           28/3
   -423    361           28/3
   -408     54              4
   -408    500              4
   -407     79           20/3
   -407    475           20/3
   -400     92             -8
   -400    462             -8
   -399    175          -16/3
   -399    379          -16/3
   -383    123             12
   -383    431             12
   -379     27           32/3
   -379    527           32/3
   -368     98              4
   -368    456              4
   -367     43           20/3
   -367    511           20/3
   -364    196              4
   -364    358              4
   -363    207            4/3
   -363    347            4/3
   -360     86            4/3
   -360    468            4/3
   -356     72           -8/3
   -356    482           -8/3
   -352    220           20/3
   -352    334           20/3
   -351    155          -20/3
   -351    399          -20/3
   -348    162           -4/3
   -348    392           -4/3
   -347    255            8/3
   -347    299            8/3
   -344    140           -4/3
   -344    414           -4/3
   -343    225            N/A
   -343    329            N/A
   -340    136          -32/3
   -340    418          -32/3
   -339    237            4/3
   -339    317            4/3
   -336     64           -4/3
   -336    490           -4/3
   -332    172            4/3
   -332    382            4/3
   -324     28            4/3
   -324    526            4/3
   -316    144           40/3
   -316    410           40/3
   -311    215            8/3
   -311    339            8/3
   -307    109           28/3
   -307    445           28/3
   -304    132           16/3
   -304    422           16/3
   -300    114           -8/3
   -300    440           -8/3
   -299     55              0
   -299    499              0
   -296    244           16/3
   -296    310           16/3
   -287    199          -20/3
   -287    355          -20/3
   -284    230           -8/3
   -284    324           -8/3
   -280     44              0
   -280    510              0
   -276    276            4/3
   -276    278            4/3
   -268    274           56/3
   -268    280           56/3
   -267     29             -8
   -267    525             -8
   -264    104            8/3
   -264    450            8/3
   -256    148           -4/3
   -256    406           -4/3
   -255    253            4/3
   -255    301            4/3
   -252    272            N/A
   -252    282            N/A
   -248     80           16/3
   -248    474           16/3
   -247    169           40/3
   -247    385           40/3
   -243    119          -16/3
   -243    435          -16/3
   -236    128           -4/3
   -236    426           -4/3
   -228    270            -12
   -228    284            -12
   -220    210              0
   -220    344              0
   -215     93          -16/3
   -215    461          -16/3
   -211     73              8
   -211    481              8
   -208     30          -32/3
   -208    524          -32/3
   -207     65            -12
   -207    489            -12
   -203    159           -4/3
   -203    395           -4/3
   -196    268           16/3
   -196    286           16/3
   -192    202          -16/3
   -192    352          -16/3
   -191     45            4/3
   -191    509            4/3
   -188     56           -4/3
   -188    498           -4/3
   -187     87             -4
   -187    467             -4
   -175    235            N/A
   -175    319            N/A
   -171     99          -20/3
   -171    455          -20/3
   -164    152           -8/3
   -164    402           -8/3
   -160    242              0
   -160    312              0
   -156    266           -8/3
   -156    288           -8/3
   -155    251           -4/3
   -155    303           -4/3
   -147     31            4/3
   -147    523            4/3
   -144    166             -8
   -144    388             -8
   -136    124          -16/3
   -136    430          -16/3
   -131    223           -8/3
   -131    331           -8/3
   -123    185            8/3
   -123    369            8/3
   -120    218              0
   -120    336              0
   -116    182          -16/3
   -116    372          -16/3
   -112    188            N/A
   -112    366            N/A
   -108    264              4
   -108    290              4
   -100     46          -28/3
   -100    508          -28/3
    -92    228           16/3
    -92    326           16/3
    -91    179              8
    -91    375              8
    -88    110           20/3
    -88    444           20/3
    -87     81             -8
    -87    473             -8
    -84     32           -4/3
    -84    522           -4/3
    -83    191           16/3
    -83    363           16/3
    -79    205           16/3
    -79    349           16/3
    -76     66           -4/3
    -76    488           -4/3
    -75     57              4
    -75    497              4
    -71    115              0
    -71    439              0
    -67    137            8/3
    -67    417            8/3
    -64     74              4
    -64    480              4
    -63    141            N/A
    -63    413            N/A
    -59    213           -8/3
    -59    341           -8/3
    -55    105             -8
    -55    449             -8
    -52    262              0
    -52    292              0
    -48    176             -4
    -48    378             -4
    -47    249           -8/3
    -47    305           -8/3
    -40    156            8/3
    -40    398            8/3
    -39    133            4/3
    -39    421            4/3
    -36    194           -8/3
    -36    360           -8/3
    -28     94            N/A
    -28    460            N/A
    -27    145              0
    -27    409              0
    -23    163            4/3
    -23    391            4/3
    -19     33              4
    -19    521              4
    -16    240              4
    -16    314              4
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120            4/3
     -4    434            4/3
