Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,21) to the modular symbol (1,23) - (1,32) + (1,34) of weight 2 and level 37.  Data generated by the following Sage code:

ms37a = kernel(ModularSymbols(Gamma0(37), 2).plus_submodule().cuspidal_submodule().atkin_lehner_operator() - 1).gen(0)
compute_jacobi_fast(ms37a, -3, 21, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
  -1372     16              6
  -1372     58              6
  -1368     36            -16
  -1368     38            -16
  -1360     34             16
  -1360     40             16
  -1359     11             -8
  -1359     63             -8
  -1348     24             -6
  -1348     50             -6
  -1344     32              4
  -1344     42              4
  -1343     27              0
  -1343     47              0
  -1339     17            -12
  -1339     57            -12
  -1336     12             -4
  -1336     62             -4
  -1335     21              4
  -1335     53              4
  -1332      0            -24
  -1331      1             10
  -1331     73             10
  -1328      2              0
  -1328     72              0
  -1323      3            N/A
  -1323     71            N/A
  -1320     30              4
  -1320     44              4
  -1316      4             -2
  -1316     70             -2
  -1311     13              4
  -1311     61              4
  -1307      5             -4
  -1307     69             -4
  -1304     18             -4
  -1304     56             -4
  -1299     25             -6
  -1299     49             -6
  -1296      6             12
  -1296     68             12
  -1295     37              0
  -1292     22             -4
  -1292     52             -4
  -1291     35            -18
  -1291     39            -18
  -1288     28              8
  -1288     46              8
  -1284     14              0
  -1284     60              0
  -1283      7             -4
  -1283     67             -4
  -1279     33             -4
  -1279     41             -4
  -1268      8              0
  -1268     66              0
  -1267     19             14
  -1267     55             14
  -1259     31              4
  -1259     43              4
  -1255     15             -4
  -1255     59             -4
  -1251      9              0
  -1251     65              0
  -1248     26            -16
  -1248     48            -16
  -1247     23             -4
  -1247     51             -4
  -1232     10              4
  -1232     64              4
  -1231     29              2
  -1231     45              2
  -1228     20             10
  -1228     54             10
  -1224     16             16
  -1224     58             16
  -1220     36             -4
  -1220     38             -4
  -1212     34             -6
  -1212     40             -6
  -1211     11             10
  -1211     63             10
  -1200     24            N/A
  -1200     50            N/A
  -1196     32             -4
  -1196     42             -4
  -1195     27              8
  -1195     47              8
  -1191     17             -6
  -1191     57             -6
  -1188     12             18
  -1188     62             18
  -1187     21             10
  -1187     53             10
  -1184      0              0
  -1183      1             -2
  -1183     73             -2
  -1180      2             24
  -1180     72             24
  -1175      3             -2
  -1175     71             -2
  -1172     30              4
  -1172     44              4
  -1168      4              4
  -1168     70              4
  -1163     13             -4
  -1163     61             -4
  -1159      5              8
  -1159     69              8
  -1156     18              2
  -1156     56              2
  -1151     25             -2
  -1151     49             -2
  -1148      6             -6
  -1148     68             -6
  -1147     37             32
  -1144     22              8
  -1144     52              8
  -1143     35              4
  -1143     39              4
  -1140     28              0
  -1140     46              0
  -1136     14             -8
  -1136     60             -8
  -1135      7             -8
  -1135     67             -8
  -1131     33              8
  -1131     41              8
  -1120      8            -24
  -1120     66            -24
  -1119     19             -2
  -1119     55             -2
  -1111     31             -6
  -1111     43             -6
  -1107     15             18
  -1107     59             18
  -1103      9              4
  -1103     65              4
  -1100     26             -6
  -1100     48             -6
  -1099     23              6
  -1099     51              6
  -1084     10             -6
  -1084     64             -6
  -1083     29            N/A
  -1083     45            N/A
  -1080     20            -12
  -1080     54            -12
  -1076     16             -4
  -1076     58             -4
  -1072     36              0
  -1072     38              0
  -1064     34             -4
  -1064     40             -4
  -1063     11             -6
  -1063     63             -6
  -1052     24              6
  -1052     50              6
  -1048     32            -16
  -1048     42            -16
  -1047     27             -4
  -1047     47             -4
  -1043     17            -10
  -1043     57            -10
  -1040     12              8
  -1040     62              8
  -1039     21             -6
  -1039     53             -6
  -1036      0            -12
  -1035      1            -24
  -1035     73            -24
  -1032      2              8
  -1032     72              8
  -1027      3             20
  -1027     71             20
  -1024     30              8
  -1024     44              8
  -1020      4              0
  -1020     70              0
  -1015     13             -4
  -1015     61             -4
  -1011      5            -10
  -1011     69            -10
  -1008     18            -16
  -1008     56            -16
  -1003     25             -8
  -1003     49             -8
  -1000      6              8
  -1000     68              8
   -999     37             12
   -996     22              2
   -996     52              2
   -995     35              0
   -995     39              0
   -992     28              0
   -992     46              0
   -988     14            -24
   -988     60            -24
   -987      7            -10
   -987     67            -10
   -983     33              2
   -983     41              2
   -972      8            N/A
   -972     66            N/A
   -971     19              0
   -971     55              0
   -963     31              0
   -963     43              0
   -959     15              0
   -959     59              0
   -955      9             16
   -955     65             16
   -952     26              8
   -952     48              8
   -951     23             -4
   -951     51             -4
   -936     10              0
   -936     64              0
   -935     29              0
   -935     45              0
   -932     20              4
   -932     54              4
   -928     16             24
   -928     58             24
   -924     36             -6
   -924     38             -6
   -916     34             10
   -916     40             10
   -915     11              4
   -915     63              4
   -904     24              4
   -904     50              4
   -900     32            -12
   -900     42            -12
   -899     27             -4
   -899     47             -4
   -895     17             12
   -895     57             12
   -892     12            -18
   -892     62            -18
   -891     21            -18
   -891     53            -18
   -888      0              0
   -887      1             -2
   -887     73             -2
   -884      2              4
   -884     72              4
   -879      3              0
   -879     71              0
   -876     30              2
   -876     44              2
   -872      4             -4
   -872     70             -4
   -867     13            N/A
   -867     61            N/A
   -863      5             -4
   -863     69             -4
   -860     18              0
   -860     56              0
   -855     25              0
   -855     49              0
   -852      6             -2
   -852     68             -2
   -851     37             -8
   -848     22             12
   -848     52             12
   -847     35            -12
   -847     39            -12
   -844     28              6
   -844     46              6
   -840     14             -4
   -840     60             -4
   -839      7              0
   -839     67              0
   -835     33             12
   -835     41             12
   -824      8              0
   -824     66              0
   -823     19              8
   -823     55              8
   -815     31              4
   -815     43              4
   -811     15             14
   -811     59             14
   -807      9              8
   -807     65              8
   -804     26              0
   -804     48              0
   -803     23              6
   -803     51              6
   -788     10              6
   -788     64              6
   -787     29            -10
   -787     45            -10
   -784     20              0
   -784     54              0
   -780     16              4
   -780     58              4
   -776     36             -4
   -776     38             -4
   -768     34            N/A
   -768     40            N/A
   -767     11              0
   -767     63              0
   -756     24             -6
   -756     50             -6
   -752     32              8
   -752     42              8
   -751     27              6
   -751     47              6
   -747     17             -8
   -747     57             -8
   -744     12              0
   -744     62              0
   -743     21              2
   -743     53              2
   -740      0              0
   -739      1             10
   -739     73             10
   -736      2              0
   -736     72              0
   -731      3              4
   -731     71              4
   -728     30              0
   -728     44              0
   -724      4            -10
   -724     70            -10
   -719     13              2
   -719     61              2
   -715      5             12
   -715     69             12
   -712     18            -12
   -712     56            -12
   -707     25            -10
   -707     49            -10
   -704      6             -4
   -704     68             -4
   -703     37             -8
   -700     22              6
   -700     52              6
   -699     35              0
   -699     39              0
   -696     28             -4
   -696     46             -4
   -692     14              2
   -692     60              2
   -691      7            -20
   -691     67            -20
   -687     33              6
   -687     41              6
   -676      8              6
   -676     66              6
   -675     19            N/A
   -675     55            N/A
   -667     31            -20
   -667     43            -20
   -663     15             -4
   -663     59             -4
   -659      9              2
   -659     65              2
   -656     26             -4
   -656     48             -4
   -655     23             -4
   -655     51             -4
   -640     10             -8
   -640     64             -8
   -639     29              8
   -639     45              8
   -636     20              6
   -636     54              6
   -632     16             -8
   -632     58             -8
   -628     36             14
   -628     38             14
   -620     34              4
   -620     40              4
   -619     11            -10
   -619     63            -10
   -608     24             -8
   -608     50             -8
   -604     32            -12
   -604     42            -12
   -603     27             24
   -603     47             24
   -599     17             -2
   -599     57             -2
   -596     12              2
   -596     62              2
   -595     21              8
   -595     53              8
   -592      0            -24
   -591      1              2
   -591     73              2
   -588      2            N/A
   -588     72            N/A
   -583      3             -2
   -583     71             -2
   -580     30             -4
   -580     44             -4
   -576      4              8
   -576     70              8
   -571     13              6
   -571     61              6
   -567      5              6
   -567     69              6
   -564     18             -6
   -564     56             -6
   -559     25             -8
   -559     49             -8
   -556      6              0
   -556     68              0
   -555     37            -16
   -552     22              0
   -552     52              0
   -551     35              0
   -551     39              0
   -548     28              0
   -548     46              0
   -544     14             16
   -544     60             16
   -543      7              2
   -543     67              2
   -539     33              0
   -539     41              0
   -528      8             12
   -528     66             12
   -527     19              4
   -527     55              4
   -519     31              2
   -519     43              2
   -515     15             -8
   -515     59             -8
   -511      9             -6
   -511     65             -6
   -508     26              6
   -508     48              6
   -507     23            N/A
   -507     51            N/A
   -492     10              6
   -492     64              6
   -491     29              4
   -491     45              4
   -488     20              4
   -488     54              4
   -484     16              8
   -484     58              8
   -480     36             -8
   -480     38             -8
   -472     34              4
   -472     40              4
   -471     11             -2
   -471     63             -2
   -460     24            -12
   -460     50            -12
   -456     32              4
   -456     42              4
   -455     27             -4
   -455     47             -4
   -451     17             10
   -451     57             10
   -448     12             -4
   -448     62             -4
   -447     21             -2
   -447     53             -2
   -444      0             12
   -443      1              2
   -443     73              2
   -440      2              4
   -440     72              4
   -435      3             -4
   -435     71             -4
   -432     30            N/A
   -432     44            N/A
   -428      4              0
   -428     70              0
   -423     13             -8
   -423     61             -8
   -419      5             -6
   -419     69             -6
   -416     18              0
   -416     56              0
