Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(1,1) to the modular symbol (1,23) + (1,32) + (1,34) - (1,35) of weight 2 and level 37.  Data generated by the following Sage code:

ms37b = kernel(ModularSymbols(Gamma0(37), 2).minus_submodule().cuspidal_submodule().atkin_lehner_operator() + 1).gen(0)
jj = compute_jacobi_fast(ms37b, 1, 1, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
    780     22              8
    780     52             -8
    781     35              2
    781     39             -2
    784     28            N/A
    784     46            N/A
    788     14              2
    788     60             -2
    789      7              2
    789     67             -2
    793     33              4
    793     41             -4
    804      8              0
    804     66              0
    805     19             -4
    805     55              4
    813     31              2
    813     43             -2
    817     15              8
    817     59             -8
    821      9             -2
    821     65              2
    824     26             -4
    824     48              4
    825     23             -2
    825     51              2
    840     10              8
    840     64             -8
    841     29            N/A
    841     45            N/A
    844     20              2
    844     54             -2
    848     16              4
    848     58             -4
    852     36             -6
    852     38              6
    860     34              4
    860     40             -4
    861     11              2
    861     63             -2
    872     24              0
    872     50              0
    876     32             -6
    876     42              6
    877     27              4
    877     47             -4
    881     17             -4
    881     57              4
    884     12              0
    884     62              0
    885     21              8
    885     53             -8
    888      0              0
    889      1             -2
    889     73              2
    892      2              6
    892     72             -6
    897      3              4
    897     71             -4
    900     30            N/A
    900     44            N/A
    904      4              4
    904     70             -4
    909     13              4
    909     61             -4
    913      5              6
    913     69             -6
    916     18              6
    916     56             -6
    921     25              2
    921     49             -2
    924      6              2
    924     68             -2
    925     37              0
    928     22              0
    928     52              0
    929     35             -4
    929     39              4
    932     28              0
    932     46              0
    936     14             -8
    936     60              8
    937      7             -6
    937     67              6
    941     33              0
    941     41              0
    952      8              4
    952     66             -4
    953     19              2
    953     55             -2
    961     31            N/A
    961     43            N/A
    965     15              0
    965     59              0
    969      9              8
    969     65             -8
    972     26              4
    972     48             -4
    973     23              4
    973     51             -4
    988     10              4
    988     64             -4
    989     29              0
    989     45              0
    992     20              0
    992     54              0
    996     16              2
    996     58             -2
   1000     36              0
   1000     38              0
   1008     34              0
   1008     40              0
   1009     11             -2
   1009     63              2
   1020     24             -4
   1020     50              4
   1024     32            N/A
   1024     42            N/A
   1025     27             -2
   1025     47              2
   1029     17             -2
   1029     57              2
   1032     12              4
   1032     62             -4
   1033     21             -2
   1033     53              2
