Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(61,1) to the modular symbol (5,1) - (5,2) of weight 2 and level 15.  Data generated by the following Sage code:

ms15 = ModularSymbols(Gamma0(15), 2).minus_submodule().cuspidal_submodule().gen(0)
jj=compute_jacobi_fast(ms15,61,1,2000)

Weight: 2
Index: 15

Coefficients:
====================================
  Delta      r     c(Delta,r)
    804     12             32
    804     18            -32
    805      5              0
    805     25              0
    816      6             32
    816     24            -32
    820     10              0
    820     20              0
    825     15              0
    829      7            -16
    829     13             16
    829     17            -16
    829     23             16
    840      0              0
    841      1             -6
    841     11             -6
    841     19              6
    841     29              6
    844      2            -16
    844      8             16
    844     22            -16
    844     28             16
    849      3             16
    849     27            -16
    856      4            -16
    856     14            -16
    856     16             16
    856     26             16
    861      9              0
    861     21              0
    864     12            -16
    864     18             16
    865      5              0
    865     25              0
    876      6              0
    876     24              0
    880     10              0
    880     20              0
    885     15              0
    889      7             16
    889     13            -16
    889     17             16
    889     23            -16
    900      0              0
    901      1             32
    901     11             32
    901     19            -32
    901     29            -32
    904      2            -32
    904      8             32
    904     22            -32
    904     28             32
    909      3              0
    909     27              0
    916      4              0
    916     14              0
    916     16              0
    916     26              0
    921      9             16
    921     21            -16
    924     12              0
    924     18              0
    925      5              0
    925     25              0
    936      6              0
    936     24              0
    940     10              0
    940     20              0
    945     15              0
    949      7              0
    949     13              0
    949     17              0
    949     23              0
    960      0              0
    961      1              2
    961     11              2
    961     19             -2
    961     29             -2
    964      2             32
    964      8            -32
    964     22             32
    964     28            -32
    969      3              0
    969     27              0
    976      4            N/A
    976     14            N/A
    976     16            N/A
    976     26            N/A
    981      9            -32
    981     21             32
    984     12            -32
    984     18             32
    985      5              0
    985     25              0
    996      6            -32
    996     24             32
   1000     10              0
   1000     20              0
   1005     15              0
   1009      7              0
   1009     13              0
   1009     17              0
   1009     23              0
   1020      0              0
   1021      1            -32
   1021     11            -32
   1021     19             32
   1021     29             32
   1024      2              8
   1024      8             -8
   1024     22              8
   1024     28             -8
   1029      3              0
   1029     27              0
   1036      4             32
   1036     14             32
   1036     16            -32
   1036     26            -32
   1041      9            -48
   1041     21             48
   1044     12              0
   1044     18              0
   1045      5              0
   1045     25              0
   1056      6            -32
   1056     24             32
   1060     10              0
   1060     20              0
   1065     15              0
   1069      7             16
   1069     13            -16
   1069     17             16
   1069     23            -16
   1080      0              0
   1081      1             16
   1081     11             16
   1081     19            -16
   1081     29            -16
   1084      2             16
   1084      8            -16
   1084     22             16
   1084     28            -16
   1089      3            -20
   1089     27             20
   1096      4            -32
   1096     14            -32
   1096     16             32
   1096     26             32
   1101      9             16
   1101     21            -16
   1104     12             32
   1104     18            -32
   1105      5              0
   1105     25              0
   1116      6             32
   1116     24            -32
   1120     10              0
   1120     20              0
   1125     15              0
   1129      7             16
   1129     13            -16
   1129     17             16
   1129     23            -16
   1140      0              0
   1141      1            -16
   1141     11            -16
   1141     19             16
   1141     29             16
   1144      2             32
   1144      8            -32
   1144     22             32
   1144     28            -32
   1149      3             48
   1149     27            -48
   1156      4              4
   1156     14              4
   1156     16             -4
   1156     26             -4
   1161      9             16
   1161     21            -16
   1164     12            -64
   1164     18             64
   1165      5              0
   1165     25              0
   1176      6             16
   1176     24            -16
   1180     10              0
   1180     20              0
   1185     15              0
   1189      7            -32
   1189     13             32
   1189     17            -32
   1189     23             32
   1200      0              0
   1201      1            -16
   1201     11            -16
   1201     19             16
   1201     29             16
   1204      2              0
   1204      8              0
   1204     22              0
   1204     28              0
   1209      3             32
   1209     27            -32
   1216      4            -16
   1216     14            -16
   1216     16             16
   1216     26             16
   1221      9            -64
   1221     21             64
   1224     12              0
   1224     18              0
   1225      5              0
   1225     25              0
   1236      6              0
   1236     24              0
   1240     10              0
   1240     20              0
   1245     15              0
   1249      7              0
   1249     13              0
   1249     17              0
   1249     23              0
   1260      0              0
   1261      1            -32
   1261     11            -32
   1261     19             32
   1261     29             32
   1264      2             16
   1264      8            -16
   1264     22             16
   1264     28            -16
   1269      3            -16
   1269     27             16
   1276      4            -32
   1276     14            -32
   1276     16             32
   1276     26             32
   1281      9            -32
   1281     21             32
   1284     12            -32
   1284     18             32
   1285      5              0
   1285     25              0
   1296      6              0
   1296     24              0
   1300     10              0
   1300     20              0
   1305     15              0
   1309      7            -32
   1309     13             32
   1309     17            -32
   1309     23             32
   1320      0              0
   1321      1             16
   1321     11             16
   1321     19            -16
   1321     29            -16
   1324      2            -16
   1324      8             16
   1324     22            -16
   1324     28             16
   1329      3             16
   1329     27            -16
   1336      4             16
   1336     14             16
   1336     16            -16
   1336     26            -16
   1341      9              0
   1341     21              0
   1344     12            -32
   1344     18             32
   1345      5              0
   1345     25              0
   1356      6            -32
   1356     24             32
   1360     10              0
   1360     20              0
   1365     15              0
   1369      7             22
   1369     13            -22
   1369     17             22
   1369     23            -22
   1380      0              0
   1381      1            -16
   1381     11            -16
   1381     19             16
   1381     29             16
   1384      2              0
   1384      8              0
   1384     22              0
   1384     28              0
   1389      3            -48
   1389     27             48
   1396      4              0
   1396     14              0
   1396     16              0
   1396     26              0
   1401      9             16
   1401     21            -16
   1404     12            -32
   1404     18             32
   1405      5              0
   1405     25              0
   1416      6            -32
   1416     24             32
   1420     10              0
   1420     20              0
   1425     15              0
   1429      7             48
   1429     13            -48
   1429     17             48
   1429     23            -48
   1440      0              0
   1441      1              0
   1441     11              0
   1441     19              0
   1441     29              0
   1444      2            -12
   1444      8             12
   1444     22            -12
   1444     28             12
   1449      3              0
   1449     27              0
   1456      4              0
   1456     14              0
   1456     16              0
   1456     26              0
   1461      9            -48
   1461     21             48
   1464     12             32
   1464     18            -32
   1465      5              0
   1465     25              0
   1476      6              0
   1476     24              0
   1480     10              0
   1480     20              0
   1485     15              0
   1489      7            -16
   1489     13             16
   1489     17            -16
   1489     23             16
   1500      0              0
   1501      1              0
   1501     11              0
   1501     19              0
   1501     29              0
   1504      2             16
   1504      8            -16
   1504     22             16
   1504     28            -16
   1509      3            -48
   1509     27             48
   1516      4             16
   1516     14             16
   1516     16            -16
   1516     26            -16
   1521      9            -12
   1521     21             12
   1524     12              0
   1524     18              0
   1525      5            N/A
   1525     25            N/A
   1536      6            -48
   1536     24             48
   1540     10              0
   1540     20              0
   1545     15              0
   1549      7              0
   1549     13              0
   1549     17              0
   1549     23              0
   1560      0              0
   1561      1            -16
   1561     11            -16
   1561     19             16
   1561     29             16
   1564      2             32
   1564      8            -32
   1564     22             32
   1564     28            -32
   1569      3            -48
   1569     27             48
   1576      4            -32
   1576     14            -32
   1576     16             32
   1576     26             32
   1581      9            -32
   1581     21             32
   1584     12              0
   1584     18              0
   1585      5              0
   1585     25              0
   1596      6              0
   1596     24              0
   1600     10              0
   1600     20              0
   1605     15              0
   1609      7            -16
   1609     13             16
   1609     17            -16
   1609     23             16
   1620      0              0
   1621      1              0
   1621     11              0
   1621     19              0
   1621     29              0
   1624      2            -32
   1624      8             32
   1624     22            -32
   1624     28             32
   1629      3              0
   1629     27              0
   1636      4            -32
   1636     14            -32
   1636     16             32
   1636     26             32
   1641      9             48
   1641     21            -48
   1644     12            -32
   1644     18             32
   1645      5              0
   1645     25              0
   1656      6            -32
   1656     24             32
   1660     10              0
   1660     20              0
   1665     15              0
   1669      7            -32
   1669     13             32
   1669     17            -32
   1669     23             32
   1680      0              0
   1681      1            -18
   1681     11            -18
   1681     19             18
   1681     29             18
   1684      2              0
   1684      8              0
   1684     22              0
   1684     28              0
   1689      3             16
   1689     27            -16
   1696      4            -32
   1696     14            -32
   1696     16             32
   1696     26             32
   1701      9             16
   1701     21            -16
   1704     12             64
   1704     18            -64
   1705      5              0
   1705     25              0
   1716      6              0
   1716     24              0
   1720     10              0
   1720     20              0
   1725     15              0
   1729      7            -32
   1729     13             32
   1729     17            -32
   1729     23             32
   1740      0              0
   1741      1              0
   1741     11              0
   1741     19              0
   1741     29              0
   1744      2            -32
   1744      8             32
   1744     22            -32
   1744     28             32
   1749      3              0
   1749     27              0
   1756      4             16
   1756     14             16
   1756     16            -16
   1756     26            -16
   1761      9             16
   1761     21            -16
   1764     12              8
   1764     18             -8
   1765      5              0
   1765     25              0
   1776      6             32
   1776     24            -32
   1780     10              0
   1780     20              0
   1785     15              0
   1789      7            -32
   1789     13             32
   1789     17            -32
   1789     23             32
   1800      0              0
   1801      1             16
   1801     11             16
   1801     19            -16
   1801     29            -16
   1804      2             32
   1804      8            -32
   1804     22             32
   1804     28            -32
   1809      3             16
   1809     27            -16
   1816      4            -16
   1816     14            -16
   1816     16             16
   1816     26             16
   1821      9            -80
   1821     21             80
   1824     12            -32
   1824     18             32
   1825      5              0
   1825     25              0
   1836      6            -32
   1836     24             32
   1840     10              0
   1840     20              0
   1845     15              0
   1849      7              6
   1849     13             -6
   1849     17              6
   1849     23             -6
   1860      0              0
   1861      1              0
   1861     11              0
   1861     19              0
   1861     29              0
   1864      2              0
   1864      8              0
   1864     22              0
   1864     28              0
   1869      3            -64
   1869     27             64
   1876      4              0
   1876     14              0
   1876     16              0
   1876     26              0
   1881      9              0
   1881     21              0
   1884     12             32
   1884     18            -32
   1885      5              0
   1885     25              0
   1896      6            -64
   1896     24             64
   1900     10              0
   1900     20              0
   1905     15              0
   1909      7            -16
   1909     13             16
   1909     17            -16
   1909     23             16
   1920      0              0
   1921      1              0
   1921     11              0
   1921     19              0
   1921     29              0
   1924      2              0
   1924      8              0
   1924     22              0
   1924     28              0
   1929      3            -16
   1929     27             16
   1936      4              0
   1936     14              0
   1936     16              0
   1936     26              0
   1941      9             48
   1941     21            -48
   1944     12             16
   1944     18            -16
   1945      5              0
   1945     25              0
   1956      6            -32
   1956     24             32
   1960     10              0
   1960     20              0
   1965     15              0
   1969      7             32
   1969     13            -32
   1969     17             32
   1969     23            -32
   1980      0              0
   1981      1             16
   1981     11             16
   1981     19            -16
   1981     29            -16
   1984      2            -16
   1984      8             16
   1984     22            -16
   1984     28             16
   1989      3              0
   1989     27              0
   1996      4             16
   1996     14             16
   1996     16            -16
   1996     26            -16
